Date,Value (USD per troy ounce)
2018-11-25,1224.207479
2018-11-26,1222.477377
2018-11-27,1214.657052
2018-11-28,1221.045602
2018-11-29,1223.983285
2018-11-30,1222.234413
2018-12-01,1222.411696
2018-12-02,1222.284695
2018-12-03,1231.275539
2018-12-04,1238.701974
2018-12-05,1237.785191
2018-12-06,1237.608964
2018-12-07,1248.268916
2018-12-08,1248.285597
2018-12-09,1248.759046
2018-12-10,1244.168427
2018-12-11,1243.285056
2018-12-12,1246.160334
2018-12-13,1242.28022
2018-12-14,1238.10585
2018-12-15,1238.098776
2018-12-16,1237.378737
2018-12-17,1245.684616
2018-12-18,1249.596662
2018-12-19,1243.704391
2018-12-20,1261.462492
2018-12-21,1255.992624
2018-12-22,1256.028939
2018-12-23,1259.20003
2018-12-24,1268.912672
2018-12-25,1268.23886
2018-12-26,1268.408689
2018-12-27,1274.597737
2018-12-28,1280.638596
2018-12-29,1280.622895
2018-12-30,1280.139279
2018-12-31,1281.997982
2019-01-01,1281.291389
2019-01-02,1285.33184
2019-01-03,1294.73274
2019-01-04,1285.048034
2019-01-05,1285.157078
2019-01-06,1284.010221
2019-01-07,1288.738435
2019-01-08,1285.192331
2019-01-09,1293.234277
2019-01-10,1287.674352
2019-01-11,1287.344231
2019-01-12,1287.266361
2019-01-13,1288.435646
2019-01-14,1291.761785
2019-01-15,1289.756324
2019-01-16,1293.364255
2019-01-17,1291.926562
2019-01-18,1281.595003
2019-01-19,1281.541625
2019-01-20,1282.380097
2019-01-21,1279.930661
2019-01-22,1284.83058
2019-01-23,1283.15067
2019-01-24,1281.340328
2019-01-25,1303.255778
2019-01-26,1303.313675
2019-01-27,1300.25485
2019-01-28,1303.736279
2019-01-29,1311.099153
2019-01-30,1319.367341
2019-01-31,1320.88502
2019-02-01,1317.745527
2019-02-02,1317.65326
2019-02-03,1317.375524
2019-02-04,1311.942654
2019-02-05,1314.685144
2019-02-06,1306.683466
2019-02-07,1310.351917
2019-02-08,1314.065743
2019-02-09,1314.103617
2019-02-10,1313.896426
2019-02-11,1307.75136
2019-02-12,1310.546306
2019-02-13,1307.003637
2019-02-14,1312.269155
2019-02-15,1321.122323
2019-02-16,1321.178491
2019-02-17,1321.108674
2019-02-18,1326.293654
2019-02-19,1340.418086
2019-02-20,1339.826905
2019-02-21,1325.091231
2019-02-22,1327.852829
2019-02-23,1327.924255
2019-02-24,1327.871356
2019-02-25,1327.542079
2019-02-26,1329.183536
2019-02-27,1320.672161
2019-02-28,1313.685334
2019-03-01,1293.544786
2019-03-02,1293.548288
2019-03-03,1295.328398
2019-03-04,1286.860997
2019-03-05,1287.950502
2019-03-06,1286.886811
2019-03-07,1285.638733
2019-03-08,1298.352773
2019-03-09,1298.524227
2019-03-10,1297.185108
2019-03-11,1292.870772
2019-03-12,1301.969887
2019-03-13,1309.155025
2019-03-14,1296.380391
2019-03-15,1301.787995
2019-03-16,1302.117243
2019-03-17,1300.525412
